"sbj_id","test_num","blok","typ","error","correct","age","rt","gain","peak_velocity"
"A1",1,1,"p",0,60,1,384.566666666667,0.79505,303.266666666667
"A1",1,2,"a",4,36,1,435.2,0.7224,307.1
"A1",1,3,"a",1,39,1,409.525,0.79435,314.3
"A1",1,4,"a",3,37,1,393.975,0.763175,310.95
"A1",1,5,"p",0,60,1,383.783333333333,0.775016666666667,275.916666666667
"A7",1,1,"p",7,45,0,226.076923076923,0.598730769230769,434.153846153846
"A7",1,2,"a",14,20,0,272.264705882353,0.567352941176471,603.147058823529
"A7",1,3,"a",6,26,0,326.8125,0.6500625,589.96875
"A7",1,4,"a",4,32,0,285.333333333333,0.593583333333333,383.277777777778
"A7",1,5,"p",5,44,0,263.489795918367,0.695081632653061,676.816326530612
"A8",1,1,"p",1,57,1,263.706896551724,0.762206896551724,281.224137931034
"A8",1,2,"a",4,34,1,290.131578947368,0.744263157894737,269.605263157895
"A8",1,3,"a",3,37,1,287.7,0.728475,279.675
"A8",1,4,"a",5,35,1,287.125,0.7576,304.575
"A8",1,5,"p",2,57,1,260.915254237288,0.780118644067797,306.457627118644
"B1",1,1,"p",0,60,1,331.166666666667,0.923266666666667,241.633333333333
"B1",1,2,"a",2,38,1,348.075,0.804675,251.25
"B1",1,3,"a",4,36,1,353,0.786125,247.325
"B1",1,4,"a",0,40,1,336.875,0.832,248.075
"B1",1,5,"p",1,58,1,315.508474576271,0.804271186440678,263.881355932203
"B6",1,1,"p",5,55,1,289.3,0.791516666666667,343.766666666667
"B6",1,2,"a",3,35,1,284.657894736842,0.608552631578947,288.342105263158
"B6",1,3,"a",2,37,1,299.076923076923,0.774512820512821,353.717948717949
"B6",1,4,"a",1,35,1,277.611111111111,0.717638888888889,308.361111111111
"B6",1,5,"p",4,52,1,234.482142857143,0.693303571428571,272.5
"B7",1,1,"p",0,59,0,247.135593220339,0.929220338983051,327.779661016949
"B7",1,2,"a",1,39,0,302.725,0.9453,361.875
"B7",1,3,"a",3,36,0,273.410256410256,0.892076923076923,371.846153846154
"B7",1,4,"a",4,36,0,291.725,0.9046,336.275
"B7",1,5,"p",0,58,0,246.086206896552,0.800224137931035,349.51724137931
"B9",1,1,"p",1,59,0,293.066666666667,0.870466666666667,247.783333333333
"B9",1,2,"a",6,33,0,335.384615384615,0.81551282051282,222.128205128205
"B9",1,3,"a",3,37,0,344.85,0.845425,233.625
"B9",1,4,"a",2,36,0,351.5,0.749631578947368,197.921052631579
"B9",1,5,"p",3,54,0,218.947368421053,0.817789473684211,253.421052631579
"C8",1,1,"p",1,54,0,255.2,0.808727272727273,272.654545454545
"C8",1,2,"a",4,35,0,271.358974358974,0.792871794871795,275.230769230769
"C8",1,3,"a",3,35,0,287.815789473684,0.856631578947368,246.631578947368
"C8",1,4,"a",7,24,0,255.548387096774,0.738225806451613,196.290322580645
"C8",1,5,"p",3,51,0,243.296296296296,0.689537037037037,264.518518518519
"D0",1,1,"p",0,60,0,296.466666666667,0.901516666666667,287.433333333333
"D0",1,2,"a",1,39,0,324.65,0.885875,279.4
"D0",1,3,"a",0,40,0,327,0.908525,280.35
"D0",1,4,"a",1,39,0,358.475,0.859475,310.9
"D0",1,5,"p",0,60,0,302.65,0.874033333333333,277.583333333333
"D1",1,1,"p",1,59,0,268.833333333333,0.751616666666667,255.6
"D1",1,2,"a",0,40,0,306.8,0.84315,265.925
"D1",1,3,"a",2,38,0,295.725,0.737025,228.3
"D1",1,4,"a",1,39,0,310.6,0.750625,250.125
"D1",1,5,"p",0,58,0,255.396551724138,0.750620689655172,267.01724137931
"D3",1,1,"p",0,60,0,408.65,0.905983333333333,495.95
"D3",1,2,"a",1,38,0,340,0.911692307692308,388.48717948718
"D3",1,3,"a",1,36,0,369.567567567568,0.791513513513514,498.324324324324
"D3",1,4,"a",1,35,0,349.472222222222,0.801805555555556,431.194444444444
"D3",1,5,"p",1,58,0,330.237288135593,0.851576271186441,515.661016949153
"D4",1,1,"p",1,57,1,315.568965517241,0.877344827586207,282.931034482759
"D4",1,2,"a",3,37,1,384.55,0.869325,301.975
"D4",1,3,"a",3,37,1,359.125,0.831325,270.975
"D4",1,4,"a",6,32,1,342.131578947368,0.844315789473684,271.342105263158
"D4",1,5,"p",0,58,1,328.293103448276,0.843310344827586,269.189655172414
"D5",1,1,"p",0,58,0,278.396551724138,0.796827586206897,312.844827586207
"D5",1,2,"a",2,37,0,299.461538461538,0.769128205128205,314.051282051282
"D5",1,3,"a",3,35,0,298.710526315789,0.679973684210526,331
"D5",1,4,"a",1,35,0,332.055555555556,0.693444444444444,289.361111111111
"D5",1,5,"p",2,57,0,268.661016949153,0.727610169491525,309.169491525424
"D6",1,1,"p",1,58,0,279,0.861559322033898,339.593220338983
"D6",1,2,"a",1,37,0,334.078947368421,1.01836842105263,397.184210526316
"D6",1,3,"a",4,36,0,307.55,0.964425,381.4
"D6",1,4,"a",6,34,0,324.375,0.922175,323.25
"D6",1,5,"p",2,58,0,269.65,0.88675,331.45
"D8",1,1,"p",1,58,0,247.220338983051,0.823406779661017,323.677966101695
"D8",1,2,"a",3,37,0,273.675,0.96085,314.475
"D8",1,3,"a",2,38,0,248.925,0.826725,371.475
"D8",1,4,"a",1,39,0,280.225,0.84795,399.675
"D8",1,5,"p",1,57,0,241.879310344828,0.839448275862069,352.189655172414
"D9",1,1,"p",3,54,1,298.105263157895,0.760894736842105,414.929824561404
"D9",1,2,"a",7,31,1,371.026315789474,0.613394736842105,313.763157894737
"D9",1,3,"a",3,34,1,404.216216216216,0.772567567567568,459.135135135135
"D9",1,4,"a",3,31,1,417.941176470588,0.671117647058823,385.470588235294
"D9",1,5,"p",2,56,1,329.465517241379,0.696896551724138,333.931034482759
"E0",1,1,"p",1,56,1,224.052631578947,0.739070175438597,335.070175438596
"E0",1,2,"a",7,33,1,292.75,0.7672,376.475
"E0",1,3,"a",9,30,1,266.205128205128,0.821128205128205,354.769230769231
"E0",1,4,"a",7,32,1,279.717948717949,0.721641025641026,338.615384615385
"E0",1,5,"p",2,54,1,233.767857142857,0.694232142857143,293.071428571429
"E1",1,1,"p",0,59,0,248.237288135593,0.632779661016949,224.830508474576
"E1",1,2,"a",3,37,0,304.725,0.570575,235.775
"E1",1,3,"a",7,33,0,292.725,0.6331,233.7
"E1",1,4,"a",5,34,0,283.871794871795,0.642384615384615,241.205128205128
"E1",1,5,"p",3,56,0,241.779661016949,0.730610169491525,256.864406779661
"E2",1,1,"p",1,59,1,301.85,0.852516666666667,245.95
"E2",1,2,"a",4,36,1,375.425,0.75,227.775
"E2",1,3,"a",7,32,1,400.923076923077,0.680179487179487,204.794871794872
"E2",1,4,"a",3,36,1,380.025641025641,0.745461538461539,218.666666666667
"E2",1,5,"p",2,56,1,307.431034482759,0.823206896551724,235.568965517241
"E3",1,1,"p",5,52,1,365.929824561404,0.716771929824561,325.157894736842
"E3",1,2,"a",8,30,1,420.657894736842,0.735026315789474,346.236842105263
"E3",1,3,"a",10,30,1,401.95,0.72865,344.55
"E3",1,4,"a",4,33,1,354.108108108108,0.643513513513513,305.027027027027
"E3",1,5,"p",2,57,1,346.169491525424,0.760745762711864,365.983050847458
"E4",1,1,"p",5,52,1,291.614035087719,0.770315789473684,276.912280701754
"E4",1,2,"a",10,30,1,354.375,0.63535,234.1
"E4",1,3,"a",11,26,1,397.378378378378,0.755513513513513,260.297297297297
"E4",1,4,"a",14,25,1,332,0.581871794871795,235.564102564103
"E4",1,5,"p",3,54,1,314.368421052632,0.726578947368421,254.561403508772
"E5",1,1,"p",5,46,1,396.470588235294,0.761843137254902,300.823529411765
"E5",1,2,"a",13,20,1,388.787878787879,0.631484848484848,266
"E5",1,3,"a",9,26,1,383.228571428571,0.58,251.057142857143
"E5",1,4,"a",17,18,1,326.514285714286,0.703085714285714,278.142857142857
"E5",1,5,"p",7,46,1,318.207547169811,0.664962264150943,275.547169811321
"E6",1,1,"p",0,59,0,261.135593220339,0.839474576271186,456.35593220339
"E6",1,2,"a",1,39,0,323.2,0.870675,482.15
"E6",1,3,"a",2,38,0,311.85,0.809925,353.55
"E6",1,4,"a",4,35,0,307.307692307692,0.791128205128205,411.179487179487
"E6",1,5,"p",0,59,0,264.203389830508,0.817152542372881,300.949152542373
"E8",1,1,"p",1,57,0,374.844827586207,0.822655172413793,266.913793103448
"E8",1,2,"a",1,39,0,409.6,0.844075,236.1
"E8",1,3,"a",1,39,0,465.575,0.8361,229.975
"E8",1,4,"a",0,39,0,407.692307692308,0.82151282051282,241.820512820513
"E8",1,5,"p",0,57,0,274.859649122807,0.794122807017544,255.526315789474
"F0",1,1,"p",3,47,1,259.78,0.7633,327.68
"F0",1,2,"a",5,34,1,266.102564102564,0.736435897435897,404.769230769231
"F0",1,3,"a",8,31,1,283.153846153846,0.702974358974359,343.205128205128
"F0",1,4,"a",6,29,1,268.485714285714,0.680171428571429,341.085714285714
"F0",1,5,"p",0,53,1,254.490566037736,0.692679245283019,331.075471698113
"F1",1,1,"p",1,55,0,272.285714285714,0.76425,320.25
"F1",1,2,"a",0,40,0,347.825,0.741525,372.7
"F1",1,3,"a",3,37,0,305.55,0.77085,351.675
"F1",1,4,"a",1,37,0,320.473684210526,0.754368421052632,320
"F1",1,5,"p",0,60,0,265.033333333333,0.77335,275.516666666667
"F8",1,1,"p",3,53,1,284.107142857143,0.909232142857143,391.267857142857
"F8",1,2,"a",11,24,1,315.514285714286,0.846285714285714,364.114285714286
"F8",1,3,"a",7,32,1,340.179487179487,0.904,399.051282051282
"F8",1,4,"a",10,26,1,296,0.917888888888889,416.944444444444
"G1",1,1,"p",1,57,0,283.396551724138,0.885586206896552,295.706896551724
"G1",1,2,"a",1,39,0,315.5,0.8828,258.7
"G1",1,3,"a",4,36,0,299.525,0.846575,291.425
"G1",1,4,"a",4,35,0,309.589743589744,0.846641025641026,227.666666666667
"G1",1,5,"p",1,57,0,279.965517241379,0.934241379310345,350
"G2",1,1,"p",1,58,1,329.610169491525,0.850898305084746,256.491525423729
"G2",1,2,"a",3,34,1,378.567567567568,0.850351351351351,230.783783783784
"G2",1,3,"a",2,38,1,377.95,0.884925,248.525
"G2",1,4,"a",1,38,1,403.564102564103,0.809307692307692,231.564102564103
"G2",1,5,"p",0,60,1,339.116666666667,0.848033333333333,253.7
"G6",1,1,"p",0,55,1,347.727272727273,0.792472727272727,324.381818181818
"G6",1,2,"a",0,37,1,427.891891891892,0.78972972972973,326.72972972973
"G6",1,3,"a",7,30,1,389.189189189189,0.671810810810811,254.540540540541
"G6",1,4,"a",3,36,1,395.230769230769,0.624846153846154,248.051282051282
"G6",1,5,"p",1,55,1,328.660714285714,0.6505,264.785714285714
"G8",1,1,"p",0,60,0,317.35,0.74695,326.616666666667
"G8",1,2,"a",2,36,0,313.052631578947,0.75771052631579,249.842105263158
"G8",1,3,"a",1,39,0,295.1,0.784325,253.425
"G8",1,4,"a",5,35,0,291.4,0.718725,241.4
"G8",1,5,"p",1,58,0,269.627118644068,0.780949152542373,249.322033898305
"H1",1,1,"p",3,55,0,270.241379310345,0.805551724137931,312.551724137931
"H1",1,2,"a",12,26,0,269.131578947368,0.759526315789474,298.263157894737
"H1",1,3,"a",9,30,0,306.538461538462,0.868717948717949,329.461538461538
"H1",1,4,"a",5,35,0,328.575,0.898725,303.275
"H1",1,5,"p",1,55,0,265.053571428571,0.833732142857143,294.482142857143
"H3",1,1,"p",1,59,1,305.383333333333,0.9107,1023.21666666667
"H3",1,2,"a",4,36,1,438.075,0.836575,912.65
"H3",1,3,"a",5,32,1,357.27027027027,0.802459459459459,349.054054054054
"H3",1,4,"a",1,37,1,423.763157894737,0.806868421052632,635.657894736842
"H3",1,5,"p",0,60,1,327.533333333333,0.972333333333333,729.616666666667
"H5",1,1,"p",5,52,1,267.666666666667,0.668578947368421,241.982456140351
"H5",1,2,"a",6,32,1,248.210526315789,0.568921052631579,216.368421052632
"H5",1,3,"a",3,33,1,249.111111111111,0.518027777777778,196.916666666667
"H5",1,4,"a",5,30,1,267.857142857143,0.576542857142857,222.857142857143
"H5",1,5,"p",3,51,1,246.37037037037,0.65062962962963,226.833333333333
"H7",1,1,"p",1,57,0,249.551724137931,0.824310344827586,346.775862068966
"H7",1,2,"a",1,39,0,387.1,0.7286,416.525
"H7",1,3,"a",2,38,0,355.625,0.783725,481.075
"H7",1,4,"a",3,37,0,341.05,0.787175,330.025
"H7",1,5,"p",1,56,0,249.228070175439,0.836,386.368421052632
"H8",1,1,"p",0,58,0,296.775862068966,0.792241379310345,323.103448275862
"H8",1,2,"a",6,34,0,348.35,0.695775,347.7
"H8",1,3,"a",2,38,0,354.65,0.742825,353.35
"H8",1,4,"a",8,27,0,332.857142857143,0.725171428571429,373.257142857143
"H8",1,5,"p",5,49,0,252.092592592593,0.748333333333333,382.722222222222
"H9",1,1,"p",0,59,0,304.542372881356,0.774728813559322,341.440677966102
"H9",1,2,"a",5,34,0,330.076923076923,0.654487179487179,292.717948717949
"H9",1,3,"a",4,35,0,345.435897435897,0.647923076923077,305.435897435897
"H9",1,4,"a",4,31,0,357.742857142857,0.685257142857143,281.542857142857
"H9",1,5,"p",1,58,0,318.237288135593,0.728440677966102,342.423728813559
"I1",1,1,"p",0,55,0,295.2,0.878945454545455,296.472727272727
"I1",1,2,"a",2,35,0,291.675675675676,0.852567567567568,281.351351351351
"I1",1,3,"a",0,40,0,300.325,0.828575,318.95
"I1",1,4,"a",0,38,0,353.526315789474,0.773342105263158,416.947368421053
"I1",1,5,"p",0,58,0,304.206896551724,0.809448275862069,274.896551724138
"I3",1,1,"p",4,56,1,310.6,0.9027,410.25
"I3",1,2,"a",0,40,1,353.65,0.9506,346.725
"I3",1,3,"a",3,37,1,339.075,0.942575,358.45
"I3",1,4,"a",0,40,1,336.375,0.943675,341.125
"I3",1,5,"p",1,59,1,277.3,0.894016666666667,370.183333333333
"I4",1,1,"p",1,59,1,370.183333333333,0.8023,245.383333333333
"I4",1,2,"a",0,39,1,398.717948717949,0.781102564102564,240.333333333333
"I4",1,3,"a",2,35,1,366.837837837838,0.740621621621622,251.486486486486
"I4",1,4,"a",1,38,1,350.051282051282,0.865641025641026,266.230769230769
"I4",1,5,"p",0,57,1,379.543859649123,0.820105263157895,241.649122807018
"I5",1,1,"p",0,59,0,240.101694915254,0.898220338983051,423.762711864407
"I5",1,2,"a",5,35,0,262.35,0.807575,343.075
"I5",1,3,"a",5,35,0,295.9,0.739125,609.35
"I5",1,4,"a",7,31,0,250.578947368421,0.745052631578947,706.894736842105
"I5",1,5,"p",1,57,0,236.586206896552,0.775310344827586,410.327586206897
"I6",1,1,"p",0,59,1,288.118644067797,0.804338983050848,302.118644067797
"I6",1,2,"a",3,36,1,313.820512820513,0.790897435897436,316.948717948718
"I6",1,3,"a",1,39,1,317.7,0.750375,286.775
"I6",1,4,"a",1,39,1,356.875,0.716125,265.45
"I6",1,5,"p",0,60,1,285.183333333333,0.803066666666667,282.033333333333
"I7",1,1,"p",0,60,0,292.716666666667,0.745366666666667,287.783333333333
"I7",1,2,"a",3,37,0,337.625,0.74165,322.175
"I7",1,3,"a",8,32,0,278.775,0.608875,278.475
"I7",1,4,"a",6,32,0,278.973684210526,0.696842105263158,331.763157894737
"I9",1,1,"p",5,53,1,267.310344827586,0.696655172413793,328.431034482759
