"sbj_id","test_num","blok","typ","error","correct","age","rt","gain","peak_velocity"
"A7",1,1,"p",13,47,0,212.2,0.53365,505.05
"A7",1,2,"a",15,25,0,234.95,0.500075,570.425
"A7",1,3,"a",7,30,0,333.783783783784,0.605837837837838,634.162162162162
"A7",1,4,"a",5,34,0,292.179487179487,0.55548717948718,409.230769230769
"A7",1,5,"p",8,47,0,239.272727272727,0.646218181818182,728.163636363636
"B7",1,1,"p",1,59,0,243.05,0.914983333333333,323.183333333333
"B7",1,2,"a",1,39,0,302.725,0.9453,361.875
"B7",1,3,"a",4,36,0,267.425,0.873575,376.025
"B7",1,4,"a",4,36,0,291.725,0.9046,336.275
"B7",1,5,"p",1,59,0,238.45,0.790233333333333,349.75
"B9",1,1,"p",1,59,0,293.066666666667,0.870466666666667,247.783333333333
"B9",1,2,"a",6,34,0,351.05,0.81665,222.075
"B9",1,3,"a",3,37,0,344.85,0.845425,233.625
"B9",1,4,"a",2,37,0,342.769230769231,0.734051282051282,195.435897435897
"B9",1,5,"p",4,54,0,233.379310344828,0.805862068965517,250.275862068966
"C0",1,1,"p",0,60,0,291.633333333333,0.844966666666667,322.766666666667
"C0",1,2,"a",0,40,0,324.725,0.7703,308.925
"C0",1,3,"a",1,39,0,328.325,0.793275,309.975
"C0",1,4,"a",2,37,0,312.974358974359,0.833179487179487,311.51282051282
"C0",1,5,"p",2,58,0,285.166666666667,0.8731,309.083333333333
"C1",1,1,"p",0,60,0,273.75,0.839133333333333,294.616666666667
"C1",1,2,"a",2,38,0,319.125,0.81245,304.375
"C1",1,3,"a",4,35,0,339.051282051282,0.841358974358974,341.846153846154
"C1",1,4,"a",1,39,0,312.925,0.801625,295.625
"C1",1,5,"p",1,59,0,257.6,0.809116666666667,282.85
"C7",1,1,"p",1,59,0,269.466666666667,0.818666666666667,291.383333333333
"C7",1,2,"a",3,37,0,285.775,0.82145,292.55
"C7",1,3,"a",1,39,0,308.625,0.832125,300.625
"C7",1,4,"a",3,37,0,314.8,0.7601,239.325
"C7",1,5,"p",0,60,0,281.55,0.80345,284.1
"C8",1,1,"p",3,57,0,235.466666666667,0.759533333333333,259.766666666667
"C8",1,2,"a",4,35,0,271.358974358974,0.792871794871795,275.230769230769
"C8",1,3,"a",4,36,0,274.075,0.8386,242.6
"C8",1,4,"a",9,31,0,226.275,0.616725,173.95
"C8",1,5,"p",8,52,0,221.45,0.63765,247.983333333333
"D0",1,1,"p",0,60,0,296.466666666667,0.901516666666667,287.433333333333
"D0",1,2,"a",1,39,0,324.65,0.885875,279.4
"D0",1,3,"a",0,40,0,327,0.908525,280.35
"D0",1,4,"a",1,39,0,358.475,0.859475,310.9
"D0",1,5,"p",0,60,0,302.65,0.874033333333333,277.583333333333
"D1",1,1,"p",1,59,0,268.833333333333,0.751616666666667,255.6
"D1",1,2,"a",0,40,0,306.8,0.84315,265.925
"D1",1,3,"a",2,38,0,295.725,0.737025,228.3
"D1",1,4,"a",1,39,0,310.6,0.750625,250.125
"D1",1,5,"p",1,58,0,251.898305084746,0.739186440677966,263.661016949153
"D3",1,1,"p",0,60,0,408.65,0.905983333333333,495.95
"D3",1,2,"a",1,38,0,340,0.911692307692308,388.48717948718
"D3",1,3,"a",2,37,0,373.128205128205,0.774487179487179,480.153846153846
"D3",1,4,"a",2,38,0,383.375,0.802875,447.475
"D3",1,5,"p",1,59,0,342.783333333333,0.838533333333333,519.983333333333
"D5",1,1,"p",0,60,0,270.133333333333,0.785516666666667,309.65
"D5",1,2,"a",2,38,0,292.775,0.769675,314.075
"D5",1,3,"a",4,36,0,283.8,0.665875,324.9
"D5",1,4,"a",4,36,0,301.45,0.648025,274.05
"D5",1,5,"p",2,58,0,264.516666666667,0.729333333333333,328.3
"D6",1,1,"p",2,58,0,274.6,0.850166666666667,336.366666666667
"D6",1,2,"a",1,39,0,344.85,0.992675,388.475
"D6",1,3,"a",4,36,0,307.55,0.964425,381.4
"D6",1,4,"a",6,34,0,324.375,0.922175,323.25
"D6",1,5,"p",2,58,0,269.65,0.88675,331.45
"D8",1,1,"p",1,59,0,243.25,0.8205,323.816666666667
"D8",1,2,"a",3,37,0,273.675,0.96085,314.475
"D8",1,3,"a",2,38,0,248.925,0.826725,371.475
"D8",1,4,"a",1,39,0,280.225,0.84795,399.675
"D8",1,5,"p",1,59,0,234.433333333333,0.817416666666667,344
"E1",1,1,"p",1,59,0,244.816666666667,0.623633333333333,222.2
"E1",1,2,"a",3,37,0,304.725,0.570575,235.775
"E1",1,3,"a",7,33,0,292.725,0.6331,233.7
"E1",1,4,"a",5,35,0,277.225,0.627825,236.4
"E1",1,5,"p",3,56,0,241.779661016949,0.730610169491525,256.864406779661
"E6",1,1,"p",0,60,0,256.9,0.8373,452.966666666667
"E6",1,2,"a",1,39,0,323.2,0.870675,482.15
"E6",1,3,"a",2,38,0,311.85,0.809925,353.55
"E6",1,4,"a",4,36,0,300.45,0.787125,405.875
"E6",1,5,"p",1,59,0,259.866666666667,0.8042,309.783333333333
"E8",1,1,"p",2,58,0,363.083333333333,0.7978,265.566666666667
"E8",1,2,"a",1,39,0,409.6,0.844075,236.1
"E8",1,3,"a",1,39,0,465.575,0.8361,229.975
"E8",1,4,"a",0,40,0,417.975,0.82395,242.425
"E8",1,5,"p",2,58,0,262.933333333333,0.78705,253.5
"F1",1,1,"p",3,57,0,255.516666666667,0.7247,315.683333333333
"F1",1,2,"a",0,40,0,347.825,0.741525,372.7
"F1",1,3,"a",3,37,0,305.55,0.77085,351.675
"F1",1,4,"a",1,38,0,312.615384615385,0.737333333333333,313.641025641026
"F1",1,5,"p",0,60,0,265.033333333333,0.77335,275.516666666667
"G1",1,1,"p",2,58,0,274.7,0.861766666666667,289.4
"G1",1,2,"a",1,39,0,315.5,0.8828,258.7
"G1",1,3,"a",4,36,0,299.525,0.846575,291.425
